               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.061723,            0.029363,                   0,             0.33454,             0.84894,             0.37313,             0.11824,            0.046631,            0.015617,                   0,            0.026733,           0.0067328,           0.0067328
                  81,            0.065452,            0.022095,                   0,             0.33454,             0.84894,             0.37313,             0.11824,            0.046631,            0.015617,                   0,            0.025801,           0.0068009,           0.0068009
                  82,            0.066569,            0.026109,                   0,             0.33454,             0.84894,             0.37313,             0.11824,            0.046631,            0.015617,                   0,            0.024869,           0.0068686,           0.0068686
                  83,            0.063458,            0.016127,                   0,             0.20744,             0.66667,              0.3675,             0.18413,            0.044842,            0.015188,                   0,            0.023936,            0.006936,            0.006936
                  84,            0.066063,            0.023282,                   0,             0.20744,             0.66667,              0.3675,             0.18413,            0.044842,            0.015188,                   0,            0.023003,           0.0070029,           0.0070029
                  85,            0.060325,            0.020302,                   0,             0.20744,             0.66667,              0.3675,             0.18413,            0.044842,            0.015188,                   0,            0.022069,           0.0070694,           0.0070694
                  86,            0.066105,            0.022699,                   0,             0.20744,             0.66667,              0.3675,             0.18413,            0.044842,            0.015188,                   0,            0.021136,           0.0071356,           0.0071356
                  87,            0.061519,            0.018596,                   0,              0.2319,                   1,               0.415,             0.21116,            0.046292,            0.014818,                   0,            0.020201,           0.0072013,           0.0072013
                  88,            0.070473,            0.019654,                   0,              0.2319,                   1,               0.415,             0.21116,            0.046292,            0.014818,                   0,            0.019267,           0.0072667,           0.0072667
                  89,            0.065718,            0.023196,                   0,              0.2319,                   1,               0.415,             0.21116,            0.046292,            0.014818,                   0,            0.018332,           0.0073316,           0.0073316
                  90,            0.065054,            0.028384,                   0,              0.2319,                   1,               0.415,             0.21116,            0.046292,            0.014818,                   0,            0.017396,           0.0073962,           0.0073962
                  91,            0.064576,             0.02418,                   0,             0.36485,             0.66667,             0.37964,             0.14795,            0.049761,            0.014168,                   0,             0.01646,           0.0074604,           0.0074604
                  92,            0.062618,            0.019948,                   0,             0.36485,             0.66667,             0.37964,             0.14795,            0.049761,            0.014168,                   0,            0.015524,           0.0075241,           0.0075241
